ItemLargeCode,ItemLargeName,ItemMiddleCode,ItemMiddleName,ItemSmallCode,ItemSmallName,ItemCode,ItemName,PriceYear,PriceMin,PriceMax
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1001,(½ÄÇ°)»ùÇ¥ ±èÄ¡±¹¼ö 101g 10ÀÔ,2023,15840,16130
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1001,(½ÄÇ°)»ùÇ¥ ±èÄ¡±¹¼ö 101g 10ÀÔ,2024,17030,17340
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1001,(½ÄÇ°)»ùÇ¥ ±èÄ¡±¹¼ö 101g 10ÀÔ,2025,17380,18640
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1002,2.1kg 6¹è ¸Þ¹Ð Bestco Èñ¼®¿ë ¼Ò¹Ù ±¹¼öÀå±¹,2024,14160,15350
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1002,2.1kg 6¹è ¸Þ¹Ð Bestco Èñ¼®¿ë ¼Ò¹Ù ±¹¼öÀå±¹,2025,15060,16160
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1003,500G ¿À¶Ñ±â ¿¾³¯ ±¹¼ö¼Ò¸é x 12°³,2025,2170,2330
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1003,500G ¿À¶Ñ±â ¿¾³¯ ±¹¼ö¼Ò¸é x 12°³,2023,2080,2100
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1003,500G ¿À¶Ñ±â ¿¾³¯ ±¹¼ö¼Ò¸é x 12°³,2024,2100,2280
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1004,CJ Á¦ÀÏÁ¦¸é¼ÒÁß¸é 900G ±¹¼ö  ´ÜÀÏ ¼ö·®,2025,2840,3040
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1004,CJ Á¦ÀÏÁ¦¸é¼ÒÁß¸é 900G ±¹¼ö  ´ÜÀÏ ¼ö·®,2024,2730,2980
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1004,CJ Á¦ÀÏÁ¦¸é¼ÒÁß¸é 900G ±¹¼ö  ´ÜÀÏ ¼ö·®,2023,2570,2770
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1005,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼Ò ¼Ò¸é 900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2023,3710,4420
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1005,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼Ò ¼Ò¸é 900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2025,4330,4650
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1005,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼Ò ¼Ò¸é 900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2024,4030,4510
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1007,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼ÒÄ®±¹¼ö900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2024,3410,3700
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1007,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼ÒÄ®±¹¼ö900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2023,3270,3480
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1007,CJ¹é¼³ Á¦ÀÏÁ¦¸é¼ÒÄ®±¹¼ö900g ±¹¼ö ¼Ò¸é ¼Ò¹Ù Ä®±¹¼ö ½ºÆÄ°ÔÆ¼,2025,3590,3850
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1008,CJÁ¦ÀÏÁ¦´ç Ç³±¹¸é µé±â¸§ ¸·±¹¼ö4ÆÑ ÃÑ 8ÀÎºÐ,2023,15220,16000
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1008,CJÁ¦ÀÏÁ¦´ç Ç³±¹¸é µé±â¸§ ¸·±¹¼ö4ÆÑ ÃÑ 8ÀÎºÐ,2024,15850,17200
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1008,CJÁ¦ÀÏÁ¦´ç Ç³±¹¸é µé±â¸§ ¸·±¹¼ö4ÆÑ ÃÑ 8ÀÎºÐ,2025,17230,18490
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1009,GB ¼Ò¸é±¹¼ö ¿µµ¿ 1.5K,2023,7380,8340
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1009,GB ¼Ò¸é±¹¼ö ¿µµ¿ 1.5K,2025,8360,8960
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1009,GB ¼Ò¸é±¹¼ö ¿µµ¿ 1.5K,2024,7940,8600
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1043,Ä¡ÀÚ¼Ò¸é±¹¼ö(½Å°¥»ê 3k),2024,11070,11760
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1043,Ä¡ÀÚ¼Ò¸é±¹¼ö(½Å°¥»ê 3k),2025,11180,12000
L1,°¡°ø½ÄÇ°,M11,°î¹°,S0080,±¹¼ö,L1-M11-S0080-1043,Ä¡ÀÚ¼Ò¸é±¹¼ö(½Å°¥»ê 3k),2023,10180,11410
